participantId,format,valid_strict,valid_loose
680ebf035ab59d342f31726e,hjson,True,False
65583ffa38bfc41805a553cd,hjson,True,False
6717980047b565ab5b849317,hjson,True,False
66ec8f7ce843d25227820f97,hjson,True,False
67792abbab2fa21bf3644c09,hjson,True,False
616e5ae706e970fe0aff99b6,hjson,True,False
660eafee7515c432e850362d,hjson,True,False
65fae23bd06ae76bcc297e8b,hjson,True,False
61601e9a6b8306196d2a129c,hjson,True,False
65fad6c874ac75642ffc254b,hjson,True,False
6094ce8d0764c24f352d1fe5,hjson,True,False
678a94ff1cf9f0775cb89e69,hjson,True,False
62d6d87d91cf24a3c1c0f10c,hjson,True,False
